"code","des"
"A9580","sodium fluoride f-18"
"A9584","iodine i-123 ioflupane"
"A9586","florbetapir f18"
"A9587","gallium ga-68"
"A9588","fluciclovine f-18"
"A9591","fluoroestradiol f 18"
"A9592","copper cu 64 dotatate diag"
"A9593","gallium ga-68 psma-11 ucsf"
"A9594","gallium ga-68 psma-11, ucla"
"A9595","piflu f-18, dia 1 millicurie"
"A9597","pet, dx, for tumor id, noc"
"A9598","pet dx for non-tumor id, noc"
"A9700","echocardiography contrast"
"C8937","cad breast mri"
"C9067","gallium ga-68 dotatoc"
"C9734","u/s trtmt, not leiomyomata"
"C9762","cardiac mri seg dys strain"
"C9763","cardiac mri seg dys stress"
"G0130","single energy x-ray study"
"G0279","tomosynthesis, mammo screen"
"G0288","recon, cta for surg plan"
"Q0092","set up port xray equipment"
"Q9950","inj sulf hexa lipid microsph"
"Q9951","locm>=400 mg/ml iodine,1ml"
"Q9953","inj fe-based mr contrast,1ml"
"Q9954","oral mr contrast, 100ml"
"Q9955","inj perflexane lip micros,ml"
"Q9956","inj octafluoropropane mic,ml"
"Q9957","inj perflutren lip micros,ml"
"Q9958","hocm <=149 mg/ml iodine, 1ml"
"Q9959","hocm 150-199mg/ml iodine,1ml"
"Q9960","hocm 200-249mg/ml iodine,1ml"
"Q9961","hocm 250-299mg/ml iodine,1ml"
"Q9962","hocm 300-349mg/ml iodine,1ml"
"Q9963","hocm 350-399mg/ml iodine,1ml"
"Q9964","hocm>= 400mg/ml iodine, 1ml"
"Q9965","locm 100-199mg/ml iodine,1ml"
"Q9966","locm 200-299mg/ml iodine,1ml"
"Q9967","locm 300-399mg/ml iodine,1ml"
"Q9982","flutemetamol f18 diagnostic"
"Q9983","florbetaben f18 diagnostic"
"R0070","transport portable x-ray"
"R0075","transport port x-ray multipl"
"0394T","hdr elctrnc skn surf brchytx"
"0395T","hdr elctr ntrst/ntrcv brchtx"
"19296","place po breast cath for rad"
"19297","place breast cath for rad"
"19298","place breast rad tube/caths"
"20555","place ndl musc/tis for rt"
"31643","diag bronchoscope/catheter"
"32553","ins mark thor for rt perq"
"32701","thorax stereo rad targetw/tx"
"41019","place needles h&n for rt"
"49327","lap ins device for rt"
"49411","ins mark abd/pel for rt perq"
"49412","ins device for rt guide open"
"55875","transperi needle place pros"
"55876","place rt device/marker pros"
"55920","place needles pelvic for rt"
"57155","insert uteri tandems/ovoids"
"57156","ins vag brachytx device"
"58346","insert heyman uteri capsule"
"61770","incise skull for treatment"
"61796","srs cranial lesion simple"
"61797","srs cran les simple addl"
"61798","srs cranial lesion complex"
"61799","srs cran les complex addl"
"61800","apply srs headframe add-on"
"63620","srs spinal lesion"
"63621","srs spinal lesion addl"
"64625","rf abltj nrv nrvtg si jt"
"77261","radiation therapy planning"
"77262","radiation therapy planning"
"77263","radiation therapy planning"
"77280","set radiation therapy field"
"77285","set radiation therapy field"
"77290","set radiation therapy field"
"77295","set radiation therapy field"
"77299","radiation therapy planning"
"77300","radiation therapy dose plan"
"77301","radiotherapy dose plan imrt"
"77306","telethx isodose plan simple"
"77307","telethx isodose plan cplx"
"77316","brachytx isodose plan simple"
"77317","brachytx isodose intermed"
"77318","brachytx isodose complex"
"77321","special teletx port plan"
"77331","special radiation dosimetry"
"77332","radiation treatment aid(s)"
"77333","radiation treatment aid(s)"
"77334","radiation treatment aid(s)"
"77336","radiation physics consult"
"77338","design mlc device for imrt"
"77370","radiation physics consult"
"77371","srs multisource"
"77372","srs linear based"
"77373","sbrt delivery"
"77385","ntsty modul rad tx dlvr smpl"
"77386","ntsty modul rad tx dlvr cplx"
"77399","external radiation dosimetry"
"77401","radiation treatment delivery"
"77402","radiation treatment delivery"
"77407","radiation treatment delivery"
"77412","radiation treatment delivery"
"77417","radiology port film(s)"
"77423","neutron beam tx complex"
"77427","radiation tx management x5"
"77431","radiation therapy management"
"77432","stereotactic radiation trmt"
"77435","sbrt management"
"77470","special radiation treatment"
"77499","radiation therapy management"
"77520","proton trmt simple w/o comp"
"77522","proton trmt simple w/comp"
"77523","proton trmt intermediate"
"77525","proton treatment complex"
"77600","hyperthermia treatment"
"77605","hyperthermia treatment"
"77610","hyperthermia treatment"
"77615","hyperthermia treatment"
"77620","hyperthermia treatment"
"77750","infuse radioactive materials"
"77761","apply intrcav radiat simple"
"77762","apply intrcav radiat interm"
"77763","apply intrcav radiat compl"
"77767","hdr rdncl skn surf brachytx"
"77768","hdr rdncl skn surf brachytx"
"77770","hdr rdncl ntrstl/icav brchtx"
"77771","hdr rdncl ntrstl/icav brchtx"
"77772","hdr rdncl ntrstl/icav brchtx"
"77778","apply interstit radiat compl"
"77789","apply surface radiation"
"77790","radiation handling"
"77799","radium/radioisotope therapy"
"78830","rp loclzj tum spect w/ct 1"
"78831","rp loclzj tum spect 2 areas"
"78832","rp loclzj tum spect w/ct 2"
"78835","rp quan meas single area"
"79005","nuclear rx oral admin"
"79101","nuclear rx iv admin"
"79200","nuclear rx intracav admin"
"79300","nuclr rx interstit colloid"
"79403","hematopoietic nuclear tx"
"79440","nuclear rx intra-articular"
"79445","nuclear rx intra-arterial"
"79999","nuclear medicine therapy"
"92974","cath place cardio brachytx"
"A4650","implant radiation dosimeter"
"A9513","lutetium lu 177 dotatat ther"
"A9517","i131 iodide cap, rx"
"A9527","iodine i-125 sodium iodide"
"A9530","i131 iodide sol, rx"
"A9543","y90 ibritumomab, rx"
"A9563","p32 na phosphate"
"A9564","p32 chromic phosphate"
"A9590","iodine i-131 iobenguane 1mci"
"A9600","sr89 strontium"
"A9604","sm 153 lexidronam"
"A9606","radium ra223 dichloride ther"
"A9699","radiopharm rx agent noc"
"C1716","brachytx, non-str, gold-198"
"C1717","brachytx, non-str,hdr ir-192"
"C1719","brachytx, ns, non-hdrir-192"
"C2616","brachytx, non-str,yttrium-90"
"C2634","brachytx, non-str, ha, i-125"
"C2635","brachytx, non-str, ha, p-103"
"C2636","brachy linear, non-str,p-103"
"C2638","brachytx, stranded, i-125"
"C2639","brachytx,non-stranded,i-125"
"C2640","brachytx, stranded, p-103"
"C2641","brachytx, non-stranded,p-103"
"C2642","brachytx, stranded, c-131"
"C2643","brachytx, non-stranded,c-131"
"C2644","brachytx cesium-131 chloride"
"C2645","brachytx planar, p-103"
"C2698","brachytx, stranded, nos"
"C2699","brachytx, non-stranded, nos"
"C9734","u/s trtmt, not leiomyomata"
"G0339","robot lin-radsurg com, first"
"G0340","robt lin-radsurg fractx 2-5"
"G6001","echo guidance radiotherapy"
"G6002","stereoscopic x-ray guidance"
"G6003","radiation treatment delivery"
"G6004","radiation treatment delivery"
"G6005","radiation treatment delivery"
"G6006","radiation treatment delivery"
"G6007","radiation treatment delivery"
"G6008","radiation treatment delivery"
"G6009","radiation treatment delivery"
"G6010","radiation treatment delivery"
"G6011","radiation treatment delivery"
"G6012","radiation treatment delivery"
"G6013","radiation treatment delivery"
"G6014","radiation treatment delivery"
"G6015","radiation tx delivery imrt"
"G6016","delivery comp imrt"
"G6017","intrafraction track motion"
"Q3001","brachytherapy radioelements"
"77063","breast tomosynthesis bi"
"77067","scr mammo bi incl cad"
"80061","lipid panel [only when billed with icd-10-cm code  z13.6]"
"81528","oncology colorectal scr"
"82270","occult blood feces"
"82465","assay bld/serum cholesterol [only when billed with icd-10-cm code z13.6]"
"82947","assay glucose blood quant [only when billed with icd-10-cm code z13.1]"
"82950","glucose test [only when billed with icd-10-cm code z13.1]"
"82951","glucose tolerance test (gtt) [only when billed with icd-10-cm code z13.1]"
"83718","assay of lipoprotein [only when billed with icd-10-cm code z13.6]"
"84478","assay of triglycerides [only when billed with icd-10-cm code z13.6]"
"G0103","psa screening"
"G0106","colon ca screen;barium enema"
"G0118","glaucoma scrn hgh risk direc"
"G0120","colon ca scrn; barium enema"
"G0123","screen cerv/vag thin layer"
"G0124","screen c/v thin layer by md"
"G0141","scr c/v cyto,autosys and md"
"G0143","scr c/v cyto,thinlayer,rescr"
"G0144","scr c/v cyto,thinlayer,rescr"
"G0145","scr c/v cyto,thinlayer,rescr"
"G0147","scr c/v cyto, automated sys"
"G0148","scr c/v cyto, autosys, rescr"
"G0327","colon ca scrn;bld-bsd biomrk"
"G0328","fecal blood scrn immunoassay"
"G0432","eia hiv-1/hiv-2 screen"
"G0433","elisa hiv-1/hiv-2 screen"
"G0435","oral hiv-1/hiv-2 screen"
"G0475","hiv combination assay"
"G0476","hpv combo assay ca  screen"
"G0499","hepb screen high risk indiv"
"P3000","screen pap by tech w md supv"
"P3001","screening pap smear by phys"
"90630","flu vacc iiv4 no preserv id"
"90654","flu vacc iiv3 no preserv id"
"90655","iiv3 vacc no prsv 0.25 ml im"
"90656","iiv3 vacc no prsv 0.5 ml im"
"90657","iiv3 vaccine splt 0.25 ml im"
"90660","laiv3 vaccine intranasal"
"90661","cciiv3 vac no prsv 0.5 ml im"
"90662","iiv no prsv increased ag im"
"90670","pcv13 vaccine im"
"90671","pcv15 vaccine im"
"90672","laiv4 vaccine intranasal"
"90673","riv3 vaccine no preserv im"
"90674","cciiv4 vac no prsv 0.5 ml im"
"90677","pcv20 vaccine im"
"90682","riv4 vacc recombinant dna im"
"90685","iiv4 vacc no prsv 0.25 ml im"
"90686","iiv4 vacc no prsv 0.5 ml im"
"90687","iiv4 vacc splt 0.25 ml im"
"90688","iiv4 vacc splt 0.5 ml im"
"90689","vacc iiv4 no prsrv 0.25ml im"
"90694","vacc aiiv4 no prsrv 0.5ml im"
"90732","ppsv23 vacc 2 yrs+ subq/im"
"90740","hepb vacc 3 dose immunsup im"
"90743","hepb vacc 2 dose adolesc im"
"90744","hepb vacc 3 dose ped/adol im"
"90746","hepb vaccine 3 dose adult im"
"90747","hepb vacc 4 dose immunsup im"
"90749","unlisted vaccine/toxoid[only when used to identify a covid-19 vaccine]"
"90756","cciiv4 vacc abx free im"
"90759","hep b vac 3ag 10mcg 3 dos im"
"91300","sarscov2 vac 30mcg/0.3ml im"
"91301","sarscov2 vac 100mcg/0.5ml im"
"91302","sarscov2 vac 5x10^10vp/.5mlim"
"91303","sarscov2 vac ad26 .5ml im"
"91304","sarscov2 vac 5mcg/0.5ml im"
"91305","sarscov2 vac 30 mcg trs-sucr"
"91306","sarscov2 vac 50mcg/0.25ml im"
"91307","sarscov2 vac 10 mcg trs-sucr"
"Q0240","casirivi and imdevi 600 mg"
"Q0243","casirivimab and imdevimab"
"Q0244","casirivi and imdevi 1200 mg"
"Q0245","bamlanivimab and etesevima"
"Q0247","sotrovimab"
"Q0249","tocilizumab for covid-19"
"Q2034","agriflu vaccine"
"Q2035","afluria vacc, 3 yrs & >, im"
"Q2036","flulaval vacc, 3 yrs & >, im"
"Q2037","fluvirin vacc, 3 yrs & >, im"
"Q2038","fluzone vacc, 3 yrs & >, im"
"Q2039","influenza virus vaccine, nos"
